,id,title,image_url,recipe_url,rating_avg,rating_val,total_time,category,cuisine,ingredients
1747,1748,Meatballs with fennel and ricotta,https://food-images.files.bbci.co.uk/food/recipes/meatballs_with_fennel_10756_16x9.jpg,https://www.bbc.co.uk/food/recipes/meatballs_with_fennel_10756,5,1,180,Main course,Italian,"whole chicken, salami, pork mince, lemon, onion, celery, leek, olive oil, egg, milk, parmesan, black pepper, salt, thyme, bay leaf, oregano, rosemary, fennel, pine nut, fennel seeds, breadcrumbs, butter"
1748,1749,Meatballs with herb salad,https://food-images.files.bbci.co.uk/food/recipes/meatballs_with_herb_94389_16x9.jpg,https://www.bbc.co.uk/food/recipes/meatballs_with_herb_94389,4.5,2,90,Main course, ,"beef mince, pork mince, garlic, tomato, shallot, salad leaves, olive oil, vegetable oil, egg, yoghurt, cream cheese, parsley, salt, coriander, turmeric, chilli powder, oregano, chives, cardamom, mint, white wine vinegar, English mustard, flaked almonds"
1749,1750,Meatballs with tomato sauce,https://food-images.files.bbci.co.uk/food/recipes/meatballswithtomatos_74759_16x9.jpg,https://www.bbc.co.uk/food/recipes/meatballswithtomatos_74759,4.055555556,18,60,Main course,Italian,"beef mince, garlic, onion, olive oil, egg, mozzarella, sugar, marjoram, black pepper"
1750,1751,Meatloaf,https://food-images.files.bbci.co.uk/food/recipes/meatloaf_56639_16x9.jpg,https://www.bbc.co.uk/food/recipes/meatloaf_56639,4.904761905,21,150,Main course,American,"beef mince, pork mince, bacon, garlic, onion, carrot, celery, olive oil, egg, double cream, brown sugar, black pepper, thyme, oregano, vinegar, ketchup, mustard, breadcrumbs"
1751,1752,Meatloaf roll,https://food-images.files.bbci.co.uk/food/recipes/meatloaf_roll_74453_16x9.jpg,https://www.bbc.co.uk/food/recipes/meatloaf_roll_74453,4.62962963,27,150,Main course,American,"beef mince, pork sausage, garlic, onion, chilli pepper, egg, puff pastry, yeast, parsley, breadcrumbs"
1752,1753,Meatzza,https://food-images.files.bbci.co.uk/food/recipes/meatzza_60080_16x9.jpg,https://www.bbc.co.uk/food/recipes/meatzza_60080,3.75,4,60,Main course,Italian,"beef mince, garlic, chopped tomatoes, egg, parmesan, mozzarella, parsley, black pepper, basil, oregano, breadcrumbs, butter"
1753,1754,Mediterranean bean stew with potato griddle cakes,https://food-images.files.bbci.co.uk/food/recipes/mediterranean_bean_stew_56916_16x9.jpg,https://www.bbc.co.uk/food/recipes/mediterranean_bean_stew_56916,4.444444444,9,90,Main course, ,"lemon, celeriac, garlic, red onion, potato, courgette, chopped tomatoes, tomato purée, olive oil, vegetable oil, baking powder, black pepper, thyme, basil, smoked paprika, vegetable stock, butter beans, broad beans, plain flour"
1754,1755,Mediterranean chicken with potatoes,https://food-images.files.bbci.co.uk/food/recipes/chicken_cacciatore_with_54620_16x9.jpg,https://www.bbc.co.uk/food/recipes/chicken_cacciatore_with_54620,4.692307692,13,90,Main course,Italian,"chicken thigh, garlic, onion, carrot, tomato, potato, olive oil, black pepper, mixed herbs, chicken stock"
1755,1756,Mediterranean filo pastry pie,https://food-images.files.bbci.co.uk/food/recipes/mediterraneanfilopas_90227_16x9.jpg,https://www.bbc.co.uk/food/recipes/mediterraneanfilopas_90227,5,2,90, , ,"sultanas, red onion, spinach, rocket, olive oil, egg, feta, black pepper, nutmeg, pine nut, filo pastry, butter"
1756,1757,Mediterranean puff pastry tart,https://food-images.files.bbci.co.uk/food/recipes/mediterranean_puff_50963_16x9.jpg,https://www.bbc.co.uk/food/recipes/mediterranean_puff_50963,4.294117647,17,240,Main course, ,"garlic, red onion, cherry tomatoes, courgette, olive oil, milk, goats cheese, puff pastry, black pepper, thyme, rosemary"
1757,1758,Medium-cut Seville orange marmalade,https://food-images.files.bbci.co.uk/food/recipes/medium-cut_seville_70291_16x9.jpg,https://www.bbc.co.uk/food/recipes/medium-cut_seville_70291,3,4,840,Other,British,"orange, lemon juice, pectin, brown sugar"
1758,1759,Meringue tranche with berries and cream ,https://food-images.files.bbci.co.uk/food/recipes/meringue_tranche_with_82125_16x9.jpg,https://www.bbc.co.uk/food/recipes/meringue_tranche_with_82125,5,1,240,Desserts, ,"blueberry, egg, double cream, yoghurt, caster sugar"
1759,1760,Mesquite chicken with grilled peach salad,https://food-images.files.bbci.co.uk/food/recipes/mesquite_chicken_with_17170_16x9.jpg,https://www.bbc.co.uk/food/recipes/mesquite_chicken_with_17170,5,3,90,Main course,American,"chicken breast, avocado, lime, peach, garlic, onion, chilli pepper, tomato, spring onion, red onion, cucumber, salad leaves, olive oil, mozzarella, brown sugar, honey, mustard powder, black pepper, salt, cumin, coriander, bay leaf, paprika, oregano, mint, rosemary, sherry vinegar, fennel"
1760,1761,Mexican bean stew,https://food-images.files.bbci.co.uk/food/recipes/mexican_bean_stew_75910_16x9.jpg,https://www.bbc.co.uk/food/recipes/mexican_bean_stew_75910,4.88,25,90,Main course, ,"lime, garlic, onion, tomato, spring onion, chopped tomatoes, tomato purée, vegetable oil, yoghurt, black pepper, cumin, coriander, chilli powder, long-grain rice"
1761,1762,Mexican fish with refried beans,https://food-images.files.bbci.co.uk/food/recipes/butterfield_grilled_bass_01988_16x9.jpg,https://www.bbc.co.uk/food/recipes/butterfield_grilled_bass_01988,5,3,60,Main course,Mexican,"sea bass, lime, garlic, onion, chilli pepper, tomato, olive oil, lard, soured cream, salt, cumin, coriander, cloves, oregano, chives, mayonnaise, pinto beans"
1762,1763,"Mexican sweetcorn pancakes, poached eggs and salsa",https://food-images.files.bbci.co.uk/food/recipes/mexicansweetcornpanc_89498_16x9.jpg,https://www.bbc.co.uk/food/recipes/mexicansweetcornpanc_89498,5,1,40,Brunch, ,"lime, chilli pepper, red onion, sweetcorn, vegetable oil, egg, milk, sugar, baking powder, black pepper, salt, coriander, white wine vinegar, plain flour"
1763,1764,Mexican tortilla bake,https://food-images.files.bbci.co.uk/food/recipes/mexican_tortilla_bake_28158_16x9.jpg,https://www.bbc.co.uk/food/recipes/mexican_tortilla_bake_28158,4.84057971,69,150,Main course,Mexican,"beef mince, mango chutney, garlic, onion, chilli pepper, chopped tomatoes, tomato purée, olive oil, cheddar, mozzarella, mascarpone, black pepper, cumin, coriander, flour tortilla"
1764,1765,Microwave arrabiata,https://food-images.files.bbci.co.uk/food/recipes/microwave_arrabiata_76939_16x9.jpg,https://www.bbc.co.uk/food/recipes/microwave_arrabiata_76939,5,4,90,Main course,Italian,"garlic, chilli pepper, chopped tomatoes, tomato purée, vegetable oil, parmesan, salt, pasta"
1765,1766,Microwave carbonara,https://food-images.files.bbci.co.uk/food/recipes/microwave_carbonara_98822_16x9.jpg,https://www.bbc.co.uk/food/recipes/microwave_carbonara_98822,4.2,5,60,Main course,Italian,"pancetta, egg, parmesan, black pepper, linguine"
1766,1767,"Microwave chocolate, peanut butter and jam brownies",https://food-images.files.bbci.co.uk/food/recipes/microwave_chocolate_30795_16x9.jpg,https://www.bbc.co.uk/food/recipes/microwave_chocolate_30795,3.90625,32,40,Cakes and baking, ,"strawberry jam, egg, ice cream, peanut butter, caster sugar, cocoa powder, butter, plain flour"
1767,1768,"Microwave chorizo, halloumi and pepper sandwich",https://food-images.files.bbci.co.uk/food/recipes/microwave_chorizo_46587_16x9.jpg,https://www.bbc.co.uk/food/recipes/microwave_chorizo_46587,5,5,40,Main course, ,"chorizo, spinach, halloumi, black pepper, paprika"
1768,1769,Microwave jacket potatoes with various toppings,https://food-images.files.bbci.co.uk/food/recipes/microwave_jacket_34010_16x9.jpg,https://www.bbc.co.uk/food/recipes/microwave_jacket_34010,4.857142857,7,40,Main course,British,"bacon, tinned tuna, salmon, apple, potato, leek, peas, sweetcorn, cheddar, black pepper, mayonnaise"
1769,1770,Microwave jacket sweet potato ,https://food-images.files.bbci.co.uk/food/recipes/microwave_sweet_potatoes_04783_16x9.jpg,https://www.bbc.co.uk/food/recipes/microwave_sweet_potatoes_04783,4,3,40,Main course, ,"smoked mackerel, lime, lemon, lime juice, spring onion, peas, sweetcorn, sweet potato, yoghurt, crème fraîche, soured cream, cheddar, feta, black pepper, coriander, mint, kidney beans"
1770,1771,Microwave soy salmon noodles,https://food-images.files.bbci.co.uk/food/recipes/microwave_soy_salmon_07689_16x9.jpg,https://www.bbc.co.uk/food/recipes/microwave_soy_salmon_07689,4.266666667,15,40,Main course, ,"salmon, orange juice, spring onion, peas, honey, soy sauce, sesame seeds, noodles"
1771,1772,Microwave spaghetti bolognese,https://food-images.files.bbci.co.uk/food/recipes/microwave_spaghetti_44920_16x9.jpg,https://www.bbc.co.uk/food/recipes/microwave_spaghetti_44920,3,7,60,Main course, ,"beef mince, garlic, onion, carrot, chopped tomatoes, vegetable oil, black pepper, oregano, beef stock, spaghetti"
1772,1773,Microwave vegetable curry ,https://food-images.files.bbci.co.uk/food/recipes/microwave_vegetable_58726_16x9.jpg,https://www.bbc.co.uk/food/recipes/microwave_vegetable_58726,4.5,6,60,Main course,Indian,"onion, peas, spinach, butternut squash, sunflower oil, curry paste, coconut milk"
1773,1774,Middle Eastern lentils,https://food-images.files.bbci.co.uk/food/recipes/middle_eastern_lentils_38158_16x9.jpg,https://www.bbc.co.uk/food/recipes/middle_eastern_lentils_38158,5,7,150,Main course,Turkish and Middle Eastern,"lemon juice, garlic, onion, chilli pepper, olive oil, yoghurt, black pepper, cumin, coriander, mint, green lentil, flatbread"
1774,1775,Midweek tacos using batch-cooked mince,https://food-images.files.bbci.co.uk/food/recipes/midweek_tacos_using_08049_16x9.jpg,https://www.bbc.co.uk/food/recipes/midweek_tacos_using_08049,4.833333333,6,90,Main course, ,"beef mince, avocado, garlic, onion, chilli pepper, carrot, tomato, celery, mushroom, iceberg lettuce, olive oil, cheddar, black pepper, cumin, coriander, chilli powder, oregano, smoked paprika, taco"
1775,1776,Migas,https://food-images.files.bbci.co.uk/food/recipes/migas_26598_16x9.jpg,https://www.bbc.co.uk/food/recipes/migas_26598,5,11,60,Main course,Mexican,"lime, chilli pepper, red onion, cherry tomatoes, sunflower oil, egg, soured cream, cheddar, black pepper, coriander, black bean, flour tortilla, butter"
1776,1777,Milk chocolate salt caramel mousse,https://ichef.bbci.co.uk/images/ic/640xn/p04hhwxn.jpg,https://www.bbc.co.uk/food/recipes/milk_chocolate_salt_51156,4,1,750,Desserts, ,"egg, double cream, sugar, milk chocolate, salt, butter"
1777,1778,Milkshake,https://food-images.files.bbci.co.uk/food/recipes/milkshake_19447_16x9.jpg,https://www.bbc.co.uk/food/recipes/milkshake_19447,5,1,40,Drinks and cocktails, ,"strawberry, milk, double cream, ice cream, caster sugar, brown sugar, dark chocolate"
1778,1779,Millionaire's shortbread,https://food-images.files.bbci.co.uk/food/recipes/millionaires_shortbread_76712_16x9.jpg,https://www.bbc.co.uk/food/recipes/millionaires_shortbread_76712,4.178571429,56,90,Cakes and baking,British,"condensed milk, caster sugar, dark chocolate, golden syrup, butter, plain flour"
1779,1780,Mince and dumplings,https://food-images.files.bbci.co.uk/food/recipes/mince_and_dumplings_47431_16x9.jpg,https://www.bbc.co.uk/food/recipes/mince_and_dumplings_47431,4.833333333,36,90,Main course,British,"beef mince, garlic, onion, carrot, celery, chopped tomatoes, tomato purée, sunflower oil, suet, caster sugar, self-raising flour, parsley, black pepper, salt, bay leaf, beef stock, red wine"
1780,1781,Mince pies,https://food-images.files.bbci.co.uk/food/recipes/mincepies_73207_16x9.jpg,https://www.bbc.co.uk/food/recipes/mincepies_73207,4.846153846,13,90,Cakes and baking,British,"mincemeat, egg, milk, caster sugar, ground almonds, butter, plain flour"
